iata;icao;aero;cidade
REC;SBRF;Guararapes – Gilberto Freyre International Airport;Recife
RIA;SBSM;Santa Maria Airport;Santa Maria
ROO;SWRD;Maestro Marinho Franco Airport;Rondonopolis
RVD;SWLC;General Leite de Castro Airport;Rio Verde
SDU;SBRJ;Santos Dumont Airport;Rio De Janeiro
SFK;SNSW;Soure Airport;Soure
SJK;SBSJ;Professor Urbano Ernesto Stumpf Airport;Sao Jose Dos Campos
SJL;SBUA;São Gabriel da Cachoeira Airport;Sao Gabriel
SJP;SBSR;Prof. Eribelto Manoel Reino State Airport;Sao Jose Do Rio Preto
SLZ;SBSL;Marechal Cunha Machado International Airport;Sao Luis
SOD;SDCO;Sorocaba Airport;Sorocaba
SQX;SSOE;São Miguel do Oeste Airport;Sao Miguel do Oeste
SRA;SSZR;Santa Rosa Airport;Santa Rosa
SSA;SBSV;Deputado Luiz Eduardo Magalhães International Airport;Salvador
SSZ;SBST;Base Aérea de Santos Airport;Santos
STM;SBSN;Maestro Wilson Fonseca Airport;Santarem
STU;SBSC;Santa Cruz Airport;Rio De Janeiro
STZ;SWST;Santa Terezinha Airport;Santa Terezinha
SXO;SWFX;São Félix do Araguaia Airport;Sao Felix do Araguaia
SXX;SNFX;São Félix do Xingu Airport;Sao Felix do Xingu
TBT;SBTT;Tabatinga Airport;Tabatinga
TFF;SBTF;Tefé Airport;Tefe
TFL;SNTO;Juscelino Kubitscheck Airport;Teofilo Otoni
THE;SBTE;Senador Petrônio Portela Airport;Teresina
TJL;SBTG;Plínio Alarcom Airport;Tres Lagoas
TMT;SBTB;Trombetas Airport;Oriximina
TOW;SBTD;Toledo Airport;Toledo
TUR;SBTU;Tucuruí Airport;Tucurui
UBA;SBUR;Mário de Almeida Franco Airport;Uberaba
UBT;SDUB;Ubatuba Airport;Ubatuba
UDI;SBUL;Ten. Cel. Aviador César Bombonato Airport;Uberlandia
UMU;SSUM;Umuarama Airport;Umuarama
UNA;SBTC;Hotel Transamérica Airport;Una
URG;SBUG;Rubem Berta Airport;Uruguaiana
VAG;SBVG;Major Brigadeiro Trompowsky Airport;Varginha
VAL;SNVB;Valença Airport;Valenca
VCP;SBKP;Viracopos International Airport;Campinas
VDC;SBQV;Vitória da Conquista Airport;Vitória Da Conquista
VIX;SBVT;Eurico de Aguiar Salles Airport;Vitoria
VLP;SWVC;Vila Rica Airport;Vila Rica
XAP;SBCH;Serafin Enoss Bertaso Airport;Chapeco
PHB;SBPB;parnaiba;parnaiba
TXF;SNTF;teixeira de freitas;teixeira de freitas
