origem;destino;preco;duracao
SBEG;SBNF;[763, 828, 836, 887];'[''6h 30m'', ''6h 30m'', ''6h'', ''6h'']'
SBEG;SBAR;[760, 825, 881, 969];'[''6h 40m'', ''6h 40m'', ''13h 45m'', ''7h 10m'']'
SBEG;SBAU;[1079, 1159];'[''7h'', ''7h'']'
SBEG;SBKP;[956, 1036, 1287, 1478];'[''3h 55m'', ''3h 55m'', ''6h'', ''6h'']'
SBEG;SBGR;[616, 616, 681, 696];'[''4h'', ''4h 5m'', ''4h 5m'', ''4h 5m'', ''4h 5m'', ''4h'']'
SBEG;SBML;[631, 711];'[''6h 50m'', ''6h 50m'']'
SBEG;SBDN;[872, 1006, 1042, 1071];'[''7h 10m'', ''7h'', ''7h 10m'', ''7h'']'
SBEG;SBRP;[931, 931, 984, 1021];'[''9h 40m'', ''9h 20m'', ''12h'', ''13h 5m'']'
SBEG;SBSR;[782, 785, 861, 867];'[''10h'', ''8h 30m'', ''6h 55m'', ''10h'']'
SBEG;SBSP;[739, 779, 824, 826];'[''7h 15m'', ''9h 55m'', ''7h 15m'', ''5h 20m'']'
SBEG;SWGN;[1363, 1632];'[''23h 55m'', ''23h 55m'']'
SBEG;SBPJ;[817, 887, 897, 998];'[''7h 10m'', ''8h 45m'', ''7h 10m'', ''11h 20m'']'
SBEG;SBRJ;[612, 677, 738, 748];'[''6h 20m'', ''6h 20m'', ''11h 5m'', ''6h 45m'']'
SBSV;SBCZ;[939, 1144];'[''7h 45m'', ''7h 45m'']'
SBSV;SBRB;[939, 939, 939, 1009];'[''6h 5m'', ''7h 20m'', ''29h 20m'', ''7h 20m'']'
SBSV;SBMO;[1496, 1571, 1760, 1835];'[''8h 10m'', ''8h 10m'', ''1h'', ''1h'']'
SBSV;SBEG;[612, 612, 662, 692];'[''11h 50m'', ''29h 35m'', ''18h 45m'', ''11h 50m'']'
SBSV;SBTT;[981, 1061];'[''7h 40m'', ''7h 40m'']'
SBSV;SBMQ;[817, 882, 888, 897];'[''14h 45m'', ''19h'', ''18h 35m'', ''14h 45m'']'
SBSV;SNBR;[330, 519, 857, 922];'[''1h 55m'', ''1h 55m'', ''16h 40m'', ''16h 40m'']'
SBSV;SBIL;[370, 435, 1187, 1459];'[''45m'', ''45m'', ''8h 45m'', ''6h 55m'']'
SBSV;SBPS;[324, 404, 1312, 1377];'[''55m'', ''55m'', ''5h 30m'', ''5h 30m'']'
SBSV;SBQV;[243, 360, 425, 469];'[''1h 10m'', ''55m'', ''55m'', ''1h 10m'']'
SBSV;SBFZ;[171, 236, 258, 258];'[''1h 45m'', ''1h 45m'', ''1h 45m'', ''1h 45m'']'
SBSV;SBJU;[861, 936];'[''7h 50m'', ''7h 50m'']'
SBSV;SBBR;[363, 399, 418, 428];'[''1h 55m'', ''1h 55m'', ''1h 55m'', ''1h 55m'']'
SBSV;SBVT;[217, 256, 282, 321];'[''1h 30m'', ''7h'', ''1h 30m'', ''7h'']'
SBSV;SBCN;[1193, 1272];'[''5h 15m'', ''5h 15m'']'
SBSV;SBGO;[365, 445, 371, 408, 439];'[''7h'', ''7h'', ''6h'', ''6h 15m'', ''5h 35m'']'
SBSV;SWLC;[1729, 1814];'[''13h 20m'', ''13h 20m'']'
SBSV;SBIZ;[730, 790, 1139, 1214];'[''4h 40m'', ''4h 40m'', ''9h 55m'', ''9h 55m'']'
SBSV;SBSL;[441, 450, 485, 506];'[''10h 15m'', ''12h 15m'', ''9h 10m'', ''10h 15m'']'
SBSV;SBCF;[265, 265, 417, 325];'[''5h 5m'', ''11h 20m'', ''1h 45m'', ''5h 5m'']'
SBSV;SBGV;[1177, 1257, 1445, 1530];'[''10h 25m'', ''10h 25m'', ''3h 15m'', ''3h 15m'']'
SBSV;SBJF;[910, 990];'[''7h 30m'', ''7h 30m'']'
SBSV;SBMK;[512, 537, 577, 617];'[''8h 10m'', ''10h 25m'', ''8h 10m'', ''10h 25m'']'
SBSV;SBIP;[678, 746, 758, 826];'[''3h 35m'', ''3h 25m'', ''3h 35m'', ''3h 25m'']'
SBSV;SBUR;[725, 805];'[''5h 35m'', ''5h 35m'']'
SBSV;SBUL;[739, 779, 786, 819];'[''9h'', ''6h 25m'', ''14h 15m'', ''9h'']'
SBSV;SBCG;[456, 456, 521, 521];'[''4h 50m'', ''13h 35m'', ''4h 50m'', ''13h 35m'']'
SBSV;SBCR;[1100, 1180, 1210, 1290];'[''13h 10m'', ''13h 10m'', ''7h 35m'', ''7h 35m'']'
SBSV;SBAT;[1380, 1460, 2100, 2185];'[''7h 35m'', ''7h 35m'', ''21h 5m'', ''21h 5m'']'
SBSV;SBCY;[696, 696, 771, 781];'[''10h 25m'', ''22h 50m'', ''4h 40m'', ''10h 25m'']'
SBSV;SBHT;[1221, 1301, 1343, 1423];'[''17h 55m'', ''17h 55m'', ''7h 45m'', ''7h 45m'']'
SBSV;SBBE;[433, 508, 514, 594];'[''19h 45m'', ''19h 45m'', ''17h'', ''17h'']'
SBSV;SBMA;[742, 742, 818, 832];'[''11h 10m'', ''11h 10m'', ''21h 10m'', ''11h 10m'']'
SBSV;SBSN;[815, 824, 824, 890];'[''7h 30m'', ''19h 45m'', ''19h 45m'', ''7h 30m'']'
SBSV;SBJP;[242, 308, 398, 439];'[''1h 25m'', ''1h 25m'', ''2h 55m'', ''6h 45m'']'
SBSV;SBKG;[1452, 1641];'[''6h 55m'', ''6h 55m'']'
SBSV;SBFN;[793, 873, 914, 994];'[''8h'', ''8h'', ''4h 45m'', ''4h 45m'']'
SBSV;SBPL;[304, 499, 679, 786];'[''1h 20m'', ''1h 20m'', ''1h 20m'', ''6h 20m'']'
SBSV;SBRF;[230, 251, 310, 316];'[''1h 10m'', ''1h 10m'', ''1h 10m'', ''1h 10m'']'
SBSV;SBTE;[324, 384, 399, 433];'[''12h'', ''12h'', ''12h 35m'', ''9h 15m'']'
SBSV;SBCA;[442, 454, 460, 522];'[''5h 35m'', ''5h 10m'', ''5h 10m'', ''5h 35m'']'
