origem;destino;preco;duracao
SBBR;SBPL;[855, 903, 903, 920];'[''11h 55m'', ''5h 15m'', ''6h 40m'', ''11h 55m'']'
SBBR;SBRF;[260, 286, 325, 341];'[''2h 35m'', ''2h 30m'', ''2h 35m'', ''2h 30m'']'
SBBR;SBTE;[680, 747, 765, 808];'[''2h 10m'', ''2h 5m'', ''2h 10m'', ''7h 30m'']'
SBBR;SBCA;[601, 673, 681, 753];'[''15h 30m'', ''9h'', ''15h 30m'', ''9h'']'
SBBR;SBCT;[322, 508, 443, 443, 481];'[''4h 30m'', ''2h'', ''2h'', ''3h 50m'', ''5h 50m'']'
SBBR;SBFI;[381, 456, 728, 743];'[''2h 10m'', ''2h 10m'', ''10h 45m'', ''4h 25m'']'
SBBR;SBLO;[273, 333, 355, 415];'[''8h 10m'', ''8h 10m'', ''6h'', ''6h'']'
SBBR;SBMG;[390, 455, 540, 615];'[''9h 5m'', ''9h 5m'', ''15h 35m'', ''15h 35m'']'
SBBR;SBCB;[1126, 1206];'[''3h 20m'', ''3h 20m'']'
SBBR;SBGL;[714, 779, 890, 955];'[''1h 40m'', ''1h 40m'', ''1h 45m'', ''1h 45m'', ''1h 45m'', ''1h 45m'']'
SBBR;SBSG;[791, 1094, 845, 856];'[''4h 35m'', ''2h 40m'', ''5h 30m'', ''4h 35m'']'
SBBR;SSKW;[1578, 1663];'[''24h 25m'', ''24h 25m'']'
SBBR;SBPV;[835, 835, 900, 900];'[''3h'', ''7h 25m'', ''3h'', ''7h 25m'']'
SBBR;SBVH;[1220, 1300];'[''24h 15m'', ''24h 15m'']'
SBBR;SBBV;[604, 604, 669, 669];'[''3h 35m'', ''3h 35m'', ''3h 35m'', ''3h 35m'']'
SBBR;SBCX;[1093, 1158];'[''4h 50m'', ''4h 50m'']'
SBBR;SBPF;[825, 911, 1002, 1067];'[''4h 30m'', ''4h 30m'', ''4h 50m'', ''4h 50m'']'
SBBR;SBPA;[543, 604, 605, 608];'[''4h 45m'', ''2h 35m'', ''2h 35m'', ''2h 35m'', ''4h 5m'', ''4h 45m'']'
SBBR;SBCH;[1159, 1224, 1359, 1434];'[''17h 20m'', ''17h 20m'', ''9h'', ''9h'']'
SBBR;SBFL;[509, 547, 574, 601];'[''3h 55m'', ''2h 15m'', ''3h 55m'', ''3h 40m'']'
SBBR;SBJV;[353, 405, 418, 470];'[''4h 15m'', ''3h 55m'', ''4h 15m'', ''3h 55m'']'
SBBR;SBNF;[407, 438, 467, 481];'[''6h 15m'', ''12h 45m'', ''6h 15m'', ''3h 25m'']'
SBBR;SBAR;[220, 242, 275, 308];'[''2h 15m'', ''2h 20m'', ''2h 15m'', ''2h 20m'']'
SBBR;SBAU;[890, 975];'[''4h 35m'', ''4h 35m'']'
SBBR;SBKP;[538, 614, 618, 679];'[''1h 45m'', ''1h 35m'', ''1h 45m'', ''1h 35m'']'
SBBR;SBGR;[295, 355, 295, 295, 324];'[''1h 45m'', ''1h 45m'', ''1h 45m'', ''1h 50m'', ''1h 50m'', ''8h 20m'', ''1h 45m'', ''1h 45m'']'
SBBR;SBML;[618, 698];'[''4h 25m'', ''4h 25m'']'
SBBR;SBDN;[485, 508, 550, 649];'[''5h 50m'', ''3h 35m'', ''5h 50m'', ''3h 35m'']'
SBBR;SBRP;[348, 533, 468, 492, 498];'[''2h 25m'', ''7h 25m'', ''7h 25m'', ''3h 25m'', ''3h 50m'']'
SBBR;SBSR;[423, 423, 488, 488];'[''4h'', ''13h 20m'', ''4h'', ''13h 20m'']'
SBBR;SBSP;[750, 820, 849, 850];'[''1h 40m'', ''1h 40m'', ''1h 45m'', ''1h 45m'', ''1h 40m'', ''1h 40m'', ''1h 40m'']'
SBBR;SBPJ;[651, 716, 963, 1028];'[''1h 15m'', ''1h 15m'', ''6h 20m'', ''6h 20m'']'
SBBR;SBRJ;[696, 1172, 1237, 1360];'[''4h 25m'', ''1h 45m'', ''1h 45m'', ''1h 45m'', ''1h 45m'', ''6h 10m'']'
SBVT;SBRB;[745, 815, 823, 856];'[''14h'', ''14h'', ''14h'', ''18h 15m'']'
SBVT;SBMO;[811, 898, 900, 900];'[''9h 10m'', ''9h 10m'', ''5h 50m'', ''24h 10m'']'
SBVT;SBEG;[727, 727, 792, 787];'[''14h 5m'', ''7h 5m'', ''6h 20m'', ''14h 15m'']'
SBVT;SBMQ;[713, 727, 788, 800];'[''13h 50m'', ''10h 30m'', ''13h 50m'', ''8h 50m'']'
SBVT;SNBR;[561, 617, 626, 682];'[''13h 30m'', ''4h 50m'', ''13h 30m'', ''4h 50m'']'
SBVT;SBIL;[817, 887, 927, 970];'[''19h 55m'', ''19h 55m'', ''6h 15m'', ''19h 55m'']'
SBVT;SBPS;[399, 474, 501, 470];'[''14h 5m'', ''14h 5m'', ''4h 5m'', ''15h 35m'']'
SBVT;SBSV;[226, 282, 291, 330];'[''6h 35m'', ''8h'', ''6h 35m'', ''1h 30m'']'
SBVT;SNVB;[2100, 2185];'[''4h 5m'', ''4h 5m'']'
SBVT;SBQV;[516, 581, 636, 656];'[''5h 20m'', ''5h 20m'', ''10h 25m'', ''10h 25m'']'
SBVT;SBFZ;[575, 640, 656, 713];'[''4h 20m'', ''4h 20m'', ''9h'', ''6h 15m'']'
SBVT;SBJU;[704, 737, 769, 802];'[''6h 30m'', ''6h 20m'', ''6h 30m'', ''6h 20m'']'
SBVT;SBBR;[256, 281, 321, 341];'[''4h 10m'', ''14h 10m'', ''4h 10m'', ''14h 10m'']'
SBVT;SBGO;[323, 345, 371, 383];'[''4h 5m'', ''3h 40m'', ''4h 10m'', ''4h 5m'']'
SBVT;SBIZ;[784, 874];'[''7h 40m'', ''7h 40m'']'
SBVT;SBSL;[560, 560, 611, 640];'[''11h 30m'', ''9h 50m'', ''11h 30m'', ''11h 30m'']'
SBVT;SBCF;[426, 459, 484, 491];'[''3h 55m'', ''12h 55m'', ''1h'', ''1h'', ''3h 55m'']'
SBVT;SBGV;[920, 1000];'[''3h 20m'', ''3h 20m'']'
SBVT;SBJF;[889, 969];'[''4h 10m'', ''4h 10m'']'
SBVT;SBMK;[449, 529, 525, 673];'[''7h 35m'', ''8h 10m'', ''7h 35m'', ''8h 10m'']'
SBVT;SBIP;[783, 863];'[''3h 30m'', ''3h 30m'']'
SBVT;SBUR;[734, 815];'[''5h 40m'', ''5h 40m'']'
SBVT;SBUL;[394, 419, 459, 485];'[''4h'', ''9h 45m'', ''4h'', ''9h 45m'']'
SBVT;SBCG;[454, 473, 454, 514];'[''7h 20m'', ''15h 5m'', ''14h 30m'', ''7h 20m'']'
SBVT;SBCR;[978, 1058];'[''4h 15m'', ''4h 15m'']'
SBVT;SBAT;[798, 878, 958];'[''20h 5m'', ''9h 5m'', ''9h 5m'']'
SBVT;SWSI;[812, 892, 893, 973];'[''17h 30m'', ''17h 30m'', ''8h 35m'', ''8h 35m'']'
SBVT;SBCY;[568, 633, 574, 602, 629];'[''10h'', ''10h'', ''5h 30m'', ''10h 45m'', ''5h 55m'']'
SBVT;SBHT;[1078, 1158];'[''8h 45m'', ''8h 45m'']'
SBVT;SBBE;[486, 510, 551, 562];'[''14h 35m'', ''5h 45m'', ''14h 35m'', ''8h 10m'']'
SBVT;SBMA;[658, 733, 744, 741];'[''10h 30m'', ''10h 30m'', ''9h 25m'', ''10h 30m'']'
SBVT;SBSN;[800, 800, 880, 880];'[''20h 40m'', ''20h 40m'', ''20h 40m'', ''20h 40m'']'
SBVT;SBJP;[686, 751, 755, 820];'[''14h 50m'', ''14h 50m'', ''9h 10m'', ''9h 10m'']'
SBVT;SBKG;[532, 597, 1635, 1700];'[''19h 45m'', ''19h 45m'', ''8h 15m'', ''8h 15m'']'
SBVT;SBFN;[1113, 1198, 1424, 1509];'[''5h 5m'', ''5h 5m'', ''19h 5m'', ''19h 5m'']'
SBVT;SBPL;[903, 903, 968, 968];'[''7h 40m'', ''9h 55m'', ''7h 40m'', ''9h 55m'']'
SBVT;SBRF;[398, 458, 480, 520];'[''16h 20m'', ''16h 20m'', ''6h 10m'', ''11h 30m'']'
SBVT;SBTE;[804, 804, 804, 869];'[''7h 15m'', ''8h 30m'', ''10h 30m'', ''7h 15m'']'
SBVT;SBCA;[597, 599, 662, 659];'[''5h 10m'', ''14h 50m'', ''5h 10m'', ''5h 40m'']'
SBVT;SBCT;[180, 200, 245, 245];'[''3h 55m'', ''5h 15m'', ''3h 55m'', ''6h 35m'']'
SBVT;SBFI;[420, 500, 440, 457, 482];'[''6h'', ''6h'', ''4h 35m'', ''4h 30m'', ''4h 25m'']'
SBVT;SBLO;[276, 276, 341, 341];'[''12h 30m'', ''11h 55m'', ''12h 30m'', ''11h 55m'']'
SBVT;SBMG;[469, 539, 549, 604];'[''14h 55m'', ''4h 15m'', ''14h 55m'', ''4h 15m'']'
SBVT;SBCB;[857, 937];'[''3h 50m'', ''3h 50m'']'
SBVT;SBGL;[366, 408, 431, 473];'[''1h 10m'', ''1h 5m'', ''1h 10m'', ''1h 5m'']'
SBVT;SBSG;[882, 882, 947, 962];'[''6h 40m'', ''9h 15m'', ''8h 20m'', ''6h 40m'']'
SBVT;SSKW;[992, 1072];'[''20h 15m'', ''20h 15m'']'
SBVT;SBPV;[764, 802, 829, 834];'[''7h'', ''5h 20m'', ''22h 40m'', ''7h'']'
SBVT;SBVH;[963, 1043];'[''20h 5m'', ''20h 5m'']'
SBVT;SBBV;[1114, 1184, 1607, 1800];'[''14h 50m'', ''14h 50m'', ''14h 20m'', ''11h 30m'']'
SBVT;SBPF;[1002, 1067, 1080, 1160];'[''5h 25m'', ''5h 25m'', ''4h 20m'', ''4h 20m'']'
SBVT;SBPA;[400, 465, 413, 424, 424];'[''7h 25m'', ''7h 25m'', ''4h 55m'', ''4h 40m'', ''14h'']'
SBVT;SBCH;[756, 800, 821, 865];'[''17h 50m'', ''4h 50m'', ''17h 50m'', ''4h 50m'']'
SBVT;SBFL;[220, 244, 295, 304];'[''3h 55m'', ''3h 55m'', ''3h 55m'', ''3h 45m'']'
SBVT;SBJV;[315, 369, 390, 434];'[''7h 35m'', ''4h 55m'', ''7h 35m'', ''4h 55m'']'
SBVT;SBNF;[293, 307, 358, 373];'[''4h 50m'', ''3h 15m'', ''4h 50m'', ''3h 15m'']'
SBVT;SBAR;[858, 903, 938, 968];'[''9h 50m'', ''14h 30m'', ''9h 50m'', ''14h 30m'']'
SBVT;SBAU;[513, 593];'[''4h 25m'', ''4h 25m'']'
SBVT;SBKP;[255, 335, 695, 690];'[''1h 35m'', ''1h 35m'', ''3h 10m'', ''2h 55m'']'
SBVT;SBGR;[175, 240, 175, 192, 225];'[''1h 35m'', ''1h 35m'', ''1h 35m'', ''1h 35m'', ''3h 20m'']'
SBVT;SBML;[488, 568];'[''4h 15m'', ''4h 15m'']'
SBVT;SBDN;[369, 434, 451, 516];'[''4h 30m'', ''4h 30m'', ''4h 25m'', ''4h 25m'']'
SBVT;SBRP;[331, 406, 348, 357, 371];'[''7h 10m'', ''7h 10m'', ''3h 55m'', ''5h 40m'', ''3h 15m'']'
SBVT;SBSR;[527, 565, 579, 592];'[''10h 55m'', ''6h'', ''4h 20m'', ''10h 55m'']'
SBVT;SBSP;[206, 266, 226, 226, 256];'[''1h 35m'', ''1h 35m'', ''1h 30m'', ''2h 55m'', ''8h 10m'']'
SBVT;SWGN;[1200, 1265];'[''22h 30m'', ''22h 30m'']'
SBVT;SBPJ;[790, 786, 832, 855];'[''5h 40m'', ''13h 20m'', ''8h 30m'', ''5h 40m'']'
SBVT;SBRJ;[267, 342, 454, 519];'[''13h 55m'', ''13h 55m'', ''1h 5m'', ''1h 5m'']'
SBCF;SBRB;[922, 943, 943, 987];'[''5h 45m'', ''6h 40m'', ''29h 35m'', ''5h 45m'']'
SBCF;SBMO;[833, 898, 988, 1053];'[''9h 10m'', ''9h 10m'', ''9h 40m'', ''9h 40m'']'
SBCF;SBEG;[812, 812, 855, 902];'[''5h 15m'', ''14h 55m'', ''11h 30m'', ''5h 15m'']'
SBCF;SBMQ;[1194, 1294, 1194, 1260, 1265];'[''17h 15m'', ''17h 15m'', ''17h 15m'', ''5h 5m'', ''5h 10m'']'
SBCF;SNBR;[471, 551, 734, 799];'[''2h 15m'', ''2h 15m'', ''16h 55m'', ''16h 55m'']'
SBCF;SBIL;[866, 936, 996, 1071];'[''5h 15m'', ''5h 15m'', ''7h 15m'', ''7h 15m'']'
SBCF;SBPS;[493, 548, 548, 553];'[''1h 20m'', ''14h 55m'', ''10h 25m'', ''1h 20m'']'
SBCF;SBSV;[265, 325, 365, 380];'[''16h 20m'', ''16h 20m'', ''7h'', ''1h 35m'']'
SBCF;SNVB;[2050, 2135];'[''1h 35m'', ''1h 35m'']'
SBCF;SBQV;[485, 565, 605, 670];'[''1h 10m'', ''1h 10m'', ''5h 20m'', ''5h 20m'']'
SBCF;SBFZ;[650, 715, 739, 814];'[''2h 55m'', ''2h 55m'', ''2h 50m'', ''2h 50m'']'
SBCF;SBJU;[657, 722, 737, 802];'[''4h 50m'', ''4h 50m'', ''6h 20m'', ''6h 20m'']'
SBCF;SBBR;[207, 272, 289, 321];'[''1h 25m'', ''1h 25m'', ''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 20m'']'
SBCF;SBVT;[426, 564, 484, 426, 426];'[''5h 10m'', ''1h'', ''1h'', ''1h'', ''10h 45m'', ''9h 10m'']'
SBCF;SBCN;[1207, 1272];'[''5h 20m'', ''5h 20m'']'
SBCF;SBGO;[599, 679, 616, 616, 616];'[''1h 25m'', ''1h 25m'', ''4h 30m'', ''9h 30m'', ''13h 35m'']'
SBCF;SBIZ;[965, 965, 999, 1060];'[''11h 15m'', ''21h 50m'', ''21h 50m'', ''11h 15m'']'
SBCF;SBSL;[821, 821, 906, 911];'[''6h 35m'', ''15h 55m'', ''4h 40m'', ''6h 35m'']'
SBCF;SBGV;[966, 1046];'[''55m'', ''55m'']'
SBCF;SBJF;[671, 751];'[''4h'', ''4h'']'
SBCF;SBMK;[440, 520, 781, 790];'[''1h 10m'', ''1h 10m'', ''4h 30m'', ''1h 5m'']'
SBCF;SBIP;[368, 420, 448, 500];'[''45m'', ''45m'', ''50m'', ''45m'', ''45m'', ''50m'']'
SBCF;SBUR;[264, 344];'[''1h 25m'', ''1h 25m'']'
SBCF;SBUL;[460, 540, 620, 632];'[''1h 30m'', ''1h 30m'', ''1h 30m'', ''1h 30m'', ''19h 25m'']'
SBCF;SBCG;[375, 435, 479, 544];'[''3h 45m'', ''3h 45m'', ''4h 10m'', ''4h 10m'']'
SBCF;SBCR;[1092, 1172];'[''4h 5m'', ''4h 5m'']'
SBCF;SBAT;[752, 827, 832, 907];'[''19h 35m'', ''5h 45m'', ''19h 35m'', ''5h 45m'']'
SBCF;SWSI;[794, 874, 1020, 1100];'[''17h'', ''17h'', ''8h'', ''8h'']'
SBCF;SBCY;[731, 731, 781, 816];'[''6h 50m'', ''8h 45m'', ''4h 35m'', ''6h 50m'']'
SBCF;SBHT;[833, 918];'[''5h 35m'', ''5h 35m'']'
SBCF;SBBE;[628, 828, 628, 693];'[''4h 50m'', ''3h 10m'', ''14h 50m'', ''4h 50m'']'
SBCF;SBMA;[646, 676, 711, 766];'[''6h 25m'', ''7h 10m'', ''6h 25m'', ''7h 10m'']'
SBCF;SBSN;[870, 870, 965, 965];'[''20h'', ''20h'', ''20h'', ''20h'']'
SBCF;SBJP;[466, 466, 531, 535];'[''19h 10m'', ''19h 10m'', ''19h 10m'', ''8h 5m'']'
SBCF;SBKG;[855, 920];'[''8h 15m'', ''8h 15m'']'
SBCF;SBFN;[1409, 1419, 1484, 1494];'[''18h 35m'', ''7h 50m'', ''7h 50m'', ''18h 35m'']'
SBCF;SBPL;[903, 968, 1905, 2046];'[''7h 40m'', ''7h 40m'', ''9h'', ''9h'']'
SBCF;SBRF;[654, 654, 654, 714];'[''7h 10m'', ''23h 25m'', ''15h 40m'', ''7h 10m'']'
SBCF;SBTE;[453, 453, 453, 533];'[''9h 30m'', ''9h 30m'', ''9h 30m'', ''9h 30m'']'
SBCF;SBCA;[641, 702, 705, 721];'[''13h 10m'', ''4h 20m'', ''6h 10m'', ''13h 10m'']'
SBCF;SBCT;[380, 460, 380, 400, 380];'[''4h 20m'', ''4h 20m'', ''10h 50m'', ''1h 35m'', ''9h 10m'']'
SBCF;SBFI;[440, 505, 440, 459, 440];'[''7h 5m'', ''7h 5m'', ''8h 30m'', ''4h 10m'', ''17h 20m'']'
SBCF;SBLO;[275, 275, 335, 337];'[''4h 20m'', ''9h'', ''4h 20m'', ''3h 45m'']'
SBCF;SBMG;[482, 531, 547, 554];'[''3h 45m'', ''3h 25m'', ''3h 45m'', ''3h 50m'']'
SBCF;SBCB;[726, 811];'[''1h 20m'', ''1h 20m'']'
SBCF;SBGL;[285, 347, 350, 347];'[''1h'', ''13h 50m'', ''1h'', ''6h 5m'']'
SBCF;SBSG;[497, 497, 546, 562];'[''18h 35m'', ''18h 35m'', ''6h'', ''18h 35m'']'
SBCF;SSKW;[1499, 1584];'[''19h 45m'', ''19h 45m'']'
SBCF;SBPV;[946, 996, 996, 1026];'[''3h 45m'', ''11h 15m'', ''22h'', ''3h 45m'']'
SBCF;SBVH;[1288, 1368, 1417, 1497];'[''19h 35m'', ''19h 35m'', ''6h 10m'', ''6h 10m'']'
SBCF;SBBV;[1053, 1118, 1351, 1351];'[''7h 30m'', ''7h 30m'', ''18h 15m'', ''18h 15m'']'
SBCF;SBCX;[815, 880];'[''3h 40m'', ''3h 40m'']'
SBCF;SBPF;[975, 1002, 1060, 1067];'[''4h 10m'', ''4h 35m'', ''4h 10m'', ''4h 35m'']'
SBCF;SBPA;[355, 425, 430, 355, 355];'[''3h 55m'', ''3h 55m'', ''2h 20m'', ''4h 30m'', ''13h 20m'']'
SBCF;SBCH;[839, 904, 1112, 1177];'[''12h'', ''12h'', ''4h 20m'', ''4h 20m'']'
SBCF;SBFL;[470, 495, 517, 535];'[''4h 5m'', ''1h 50m'', ''4h 15m'', ''4h 5m'']'
SBCF;SBJV;[353, 405, 418, 470];'[''3h 25m'', ''3h 50m'', ''3h 25m'', ''3h 50m'']'
SBCF;SBNF;[503, 503, 528, 563];'[''5h 10m'', ''10h 45m'', ''7h 5m'', ''5h 20m'']'
SBCF;SBAR;[545, 605, 708, 741];'[''5h 10m'', ''5h 10m'', ''9h 35m'', ''5h'']'
SBCF;SBAU;[767, 852];'[''3h 10m'', ''3h 10m'']'
SBCF;SBKP;[265, 345, 467, 547];'[''1h 10m'', ''1h 10m'', ''1h 10m'', ''1h 10m'', ''1h 10m'', ''1h 10m'']'
SBCF;SBGR;[180, 240, 180, 215, 215];'[''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 15m'', ''1h 25m'']'
SBCF;SBML;[369, 449];'[''3h'', ''3h'']'
SBCF;SBDN;[494, 559, 1093, 1168];'[''4h'', ''4h'', ''4h 15m'', ''4h 15m'']'
SBCF;SBRP;[350, 350, 430, 430];'[''1h 25m'', ''4h 15m'', ''1h 25m'', ''4h 15m'']'
SBCF;SBSR;[352, 408, 417, 467];'[''8h'', ''6h 40m'', ''8h'', ''7h 35m'']'
SBCF;SBSP;[121, 186, 230, 230];'[''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 20m'']'
SBCF;SWGN;[1048, 1113];'[''21h 45m'', ''21h 45m'']'
SBCF;SBPJ;[414, 479, 434, 434, 455];'[''7h 35m'', ''7h 35m'', ''3h 50m'', ''5h 15m'', ''3h 15m'']'
SBCF;SBRJ;[317, 380, 382, 445];'[''1h 5m'', ''1h 5m'', ''1h 5m'', ''1h 5m'']'
SBCG;SBRB;[936, 1031, 1076, 1141];'[''9h 20m'', ''9h 20m'', ''12h 30m'', ''12h 30m'']'
SBCG;SBMO;[856, 921, 1088, 1134];'[''7h'', ''7h'', ''24h 45m'', ''5h 35m'']'
SBCG;SBEG;[733, 746, 818, 823];'[''14h 20m'', ''5h 20m'', ''26h 55m'', ''14h 20m'']'
SBCG;SBMQ;[960, 1035, 1045, 1260];'[''15h 20m'', ''18h 45m'', ''15h 20m'', ''11h 50m'']'
SBCG;SNBR;[1422, 1497, 1622, 1697];'[''23h 15m'', ''23h 15m'', ''23h 15m'', ''23h 15m'']'
SBCG;SBIL;[1528, 1628, 2011, 2162];'[''4h 55m'', ''4h 55m'', ''9h 55m'', ''9h 55m'']'
SBCG;SBPS;[574, 639, 660, 725];'[''8h'', ''8h'', ''15h 20m'', ''15h 20m'']'
SBCG;SBSV;[456, 521, 571, 571];'[''15h 15m'', ''15h 15m'', ''21h 55m'', ''12h 55m'']'
SBCG;SBQV;[839, 904, 978, 1043];'[''11h 20m'', ''11h 20m'', ''4h 40m'', ''4h 40m'']'
SBCG;SBFZ;[502, 582, 590, 590];'[''13h 30m'', ''13h 30m'', ''11h 55m'', ''9h 35m'']'
SBCG;SBJU;[714, 779];'[''23h 5m'', ''23h 5m'']'
SBCG;SBBR;[471, 505, 546, 554];'[''1h 30m'', ''4h 40m'', ''1h 30m'', ''7h 10m'']'
SBCG;SBVT;[473, 538, 553, 618];'[''6h 20m'', ''6h 20m'', ''5h 30m'', ''5h 30m'']'
SBCG;SBGO;[420, 495, 622, 631];'[''7h 5m'', ''7h 5m'', ''10h 10m'', ''5h 20m'']'
SBCG;SBIZ;[988, 1068];'[''9h 10m'', ''9h 10m'']'
SBCG;SBSL;[729, 819, 729, 764, 767];'[''6h 50m'', ''6h 50m'', ''18h 5m'', ''6h 50m'', ''14h 35m'']'
SBCG;SBCF;[375, 375, 435, 435];'[''11h 10m'', ''7h 40m'', ''11h 10m'', ''7h 40m'']'
SBCG;SBGV;[2100, 2185];'[''9h 35m'', ''9h 35m'']'
SBCG;SBJF;[1723, 1808];'[''6h 45m'', ''6h 45m'']'
SBCG;SBMK;[689, 754, 972, 1052];'[''7h 25m'', ''7h 25m'', ''12h 5m'', ''12h 5m'']'
SBCG;SBIP;[704, 784, 2100, 2185];'[''7h 50m'', ''7h 50m'', ''6h'', ''6h'']'
SBCG;SBUR;[2100, 2185];'[''11h 55m'', ''11h 55m'']'
SBCG;SBUL;[639, 729, 739, 739];'[''23h 30m'', ''23h 30m'', ''7h 25m'', ''9h 35m'']'
SBCG;SBCR;[2100, 2185];'[''6h 50m'', ''6h 50m'']'
SBCG;SBAT;[855, 935];'[''9h 35m'', ''9h 35m'']'
SBCG;SWSI;[690, 775];'[''9h 5m'', ''9h 5m'']'
SBCG;SBCY;[553, 618, 780, 855];'[''16h'', ''16h'', ''5h 45m'', ''5h 45m'']'
SBCG;SBHT;[2100, 2185];'[''11h 20m'', ''11h 20m'']'
SBCG;SBBE;[457, 522, 529, 536];'[''21h 50m'', ''21h 50m'', ''14h 5m'', ''8h 20m'']'
SBCG;SBMA;[600, 689, 690, 754];'[''5h 50m'', ''13h 10m'', ''5h 50m'', ''13h 10m'']'
SBCG;SBSN;[2100, 2185];'[''11h 5m'', ''11h 5m'']'
SBCG;SBJP;[753, 793, 818, 873];'[''12h 45m'', ''6h 10m'', ''12h 45m'', ''6h 10m'']'
SBCG;SBKG;[855, 920];'[''6h 5m'', ''6h 5m'']'
SBCG;SBFN;[1575, 1640, 1800, 1865];'[''14h 50m'', ''14h 50m'', ''7h 55m'', ''7h 55m'']'
SBCG;SBPL;[786, 851, 903, 968];'[''13h 30m'', ''13h 30m'', ''5h 30m'', ''5h 30m'']'
SBCG;SBRF;[907, 958, 977, 1023];'[''6h 35m'', ''5h 10m'', ''6h 35m'', ''24h 35m'']'
SBCG;SBTE;[625, 710, 633, 633, 625];'[''17h 25m'', ''17h 25m'', ''5h 15m'', ''10h'', ''15h 5m'']'
SBCG;SBCA;[624, 645, 704, 717];'[''4h 20m'', ''9h 50m'', ''4h 20m'', ''4h 25m'', ''4h 25m'']'
SBCG;SBCT;[484, 549, 834, 598];'[''6h 20m'', ''6h 20m'', ''1h 20m'', ''18h 55m'']'
SBCG;SBFI;[476, 551, 579, 664];'[''6h 55m'', ''6h 55m'', ''6h 10m'', ''6h 10m'']'
SBCG;SBLO;[529, 571, 604, 656];'[''6h 10m'', ''4h 25m'', ''6h 10m'', ''4h 25m'']'
SBCG;SBMG;[553, 565, 618, 624];'[''5h 50m'', ''11h 55m'', ''5h 50m'', ''4h 5m'']'
SBCG;SBCB;[2091, 2176];'[''5h 55m'', ''5h 55m'']'
SBCG;SBGL;[417, 482, 562, 562];'[''14h'', ''14h'', ''8h 55m'', ''11h 40m'']'
SBCG;SBSG;[800, 854, 870, 929];'[''8h 10m'', ''6h 35m'', ''8h 10m'', ''6h 35m'']'
SBCG;SBPV;[618, 645, 698, 730];'[''14h 15m'', ''11h 55m'', ''14h 15m'', ''11h 55m'']'
SBCG;SBVH;[2100, 2185];'[''8h 55m'', ''8h 55m'']'
SBCG;SBBV;[1114, 1189, 1199, 1281];'[''16h 20m'', ''19h 45m'', ''16h 20m'', ''14h 15m'']'
SBCG;SBPF;[1002, 1067, 1716, 1801];'[''4h 40m'', ''4h 40m'', ''6h 55m'', ''6h 55m'']'
SBCG;SBPA;[511, 586, 622, 622];'[''4h 30m'', ''4h 30m'', ''19h 5m'', ''7h 25m'']'
SBCG;SBCH;[1220, 1300];'[''12h 20m'', ''12h 20m'']'
SBCG;SBFL;[338, 398, 553, 587];'[''11h 10m'', ''11h 10m'', ''4h 5m'', ''8h 50m'']'
SBCG;SBJV;[405, 470, 725, 799];'[''10h 55m'', ''10h 55m'', ''8h 50m'', ''17h 20m'']'
SBCG;SBNF;[616, 681, 689, 754];'[''6h'', ''6h'', ''3h 45m'', ''3h 45m'']'
SBCG;SBAR;[523, 576, 588, 635];'[''13h 45m'', ''13h'', ''13h 45m'', ''12h 35m'']'
SBCG;SBAU;[2100, 2185];'[''7h'', ''7h'']'
SBCG;SBKP;[808, 888, 961, 1041];'[''1h 25m'', ''1h 25m'', ''6h'', ''6h'']'
SBCG;SBGR;[380, 417, 445, 482];'[''1h 35m'', ''1h 35m'', ''1h 35m'', ''1h 35m'']'
SBCG;SBML;[2100, 2185];'[''6h 50m'', ''6h 50m'']'
SBCG;SBDN;[2100, 2185];'[''7h'', ''7h'']'
SBCG;SBRP;[513, 593, 603, 588];'[''8h 15m'', ''7h 55m'', ''5h 55m'', ''8h 15m'']'
SBCG;SBSR;[714, 714, 721, 804];'[''5h 10m'', ''6h 15m'', ''7h 15m'', ''5h 10m'']'
SBCG;SBSP;[548, 613, 708, 735];'[''1h 35m'', ''1h 35m'', ''1h 35m'', ''4h 55m'']'
SBCG;SBPJ;[808, 888, 905, 985];'[''7h 50m'', ''7h 50m'', ''7h 35m'', ''7h 35m'']'
SBCG;SBRJ;[389, 454, 639, 651];'[''21h 10m'', ''21h 10m'', ''3h 20m'', ''18h 50m'']'
SBCY;SBCZ;[1435, 1500];'[''7h 25m'', ''7h 25m'']'
SBCY;SBRB;[936, 1026, 1632, 1697];'[''13h 15m'', ''13h 15m'', ''5h 45m'', ''5h 45m'']'
SBCY;SBMO;[1450, 1450, 1540, 1563];'[''14h 20m'', ''14h 20m'', ''14h 20m'', ''7h 45m'']'
SBCY;SBEG;[771, 815, 830, 836];'[''6h 40m'', ''10h 20m'', ''7h 50m'', ''6h 40m'']'
SBCY;SBMQ;[692, 782, 1507, 1572];'[''15h 55m'', ''15h 55m'', ''7h 30m'', ''7h 30m'']'
SBCY;SNBR;[595, 654, 660, 719];'[''18h 5m'', ''7h 5m'', ''18h 5m'', ''7h 5m'']'
SBCY;SBIL;[899, 994, 2100, 2185];'[''6h 55m'', ''6h 55m'', ''10h 5m'', ''10h 5m'']'
