origem;destino;precos;duracoes
SBRJ;SBDB;[955, 1035];['5h 25m', '5h 25m']
SBRJ;SBDO;[951, 1031, 1046, 1126];['4h 25m', '4h 25m', '5h 5m', '5h 5m']
SBRJ;SBTG;[726, 801];['4h 25m', '4h 25m']
SBRJ;SBNT;[426];['3h 05m']
SBRJ;SBJI;[1148, 1223, 1263, 1338];['6h 40m', '6h 40m', '17h 25m', '17h 25m']
SBRJ;SBAE;[241, 241, 241, 306];['9h 45m', '20h 5m', '7h 35m', '20h 5m']
SBSG;SNTF;[2100, 2185];['17h 25m', '17h 25m']
SBSG;SBZM;[1010, 1075, 2100, 2185];['9h 20m', '9h 20m', '8h 15m', '8h 15m']
SBSG;SBDO;[2100, 2185];['8h 5m', '8h 5m']
SBSG;SBTG;[2100, 2185];['13h 45m', '13h 45m']
SBSG;SBAE;[1030, 1030, 1095, 1095];['12h 5m', '22h', '12h 5m', '22h']
SBPV;SNTF;[819, 894];['9h 55m', '9h 55m']
SBPV;SBZM;[842, 884, 907, 949];['15h 35m', '9h 55m', '15h 35m', '9h 55m']
SBPV;SBDO;[1208, 1283, 1329, 1404];['15h 25m', '15h 25m', '9h 35m', '9h 35m']
SBPV;SBTG;[1343, 1418];['9h 45m', '9h 45m']
SBPV;SBNT;[522];['8h 40m']
SBPV;SBAE;[494];['6h 55m']
SBPA;SNTF;[771, 846, 1633, 1718];['7h 45m', '7h 45m', '7h', '7h']
SBPA;SBZM;[481, 556, 782, 847];['13h 30m', '13h 30m', '3h 35m', '3h 35m']
SBPA;SBDO;[934, 1014, 1115, 1195];['4h 40m', '4h 40m', '6h 5m', '6h 5m']
SBPA;SBTG;[954, 1029];['4h 40m', '4h 40m']
SBPA;SBNT;[575];['6h 05m']
SBPA;SBJI;[1147, 1227, 1359, 1439];['8h 50m', '8h 50m', '8h 45m', '8h 45m']
SBPA;SBAE;[556, 591, 637, 666];['9h 10m', '6h 25m', '9h 10m', '6h 25m']
SBSP;SNTF;[684, 759, 904, 984];['7h 40m', '7h 40m', '3h 55m', '3h 55m']
SBSP;SBZM;[457, 522];['1h 10m', '1h 10m']
SBSP;SBJF;[249];['1h 10m']
SBSP;SBNT;[426];['9h 05m']
SBSP;SBJI;[1103, 1178];['6h 50m', '6h 50m']
SBSP;SBAE;[152];['1h 05m']
SBGR;SNTF;[757, 837];['3h 55m', '3h 55m']
SBGR;SBNT;[304];['3h 15m']
SBGR;SBJI;[866, 941, 1183, 1263];['4h 35m', '4h 35m', '15h 10m', '15h 10m']
SBGR;SBAE;[112, 177];['1h 5m', '1h 5m']
SBGL;SNTF;[688, 763, 1116, 1196];['7h 35m', '7h 35m', '5h 45m', '5h 45m']
SBGL;SBZM;[507, 572];['4h 30m', '4h 30m']
SBGL;SBJF;[507];['4h 30m']
SBGL;SBDB;[932, 1012];['5h 35m', '5h 35m']
SBGL;SBDO;[995, 1075, 1094, 1171];['9h 30m', '9h 30m', '4h 35m', '4h 35m']
SBGL;SBTG;[765, 840];['4h 35m', '4h 35m']
SBGL;SBPB;[2100];['9h 05m']
SBGL;SBNT;[423];['3h']
SBGL;SBJI;[987, 1062, 1086, 1161];['6h 45m', '6h 45m', '18h 10m', '18h 10m']
SBGL;SBAE;[363, 363, 428, 428];['6h 20m', '5h 50m', '6h 20m', '5h 50m']
SBKP;SBZM;[380, 445];['1h 30m', '1h 30m']
SBKP;SBDO;[646, 726];['2h 15m', '2h 15m', '2h 15m', '2h 15m']
SBKP;SBTG;[273, 338];['1h 40m', '1h 40m']
SBKP;SBPB;[667];['3h 20m']
SBKP;SBNT;[400];['5h 05m']
SBKP;SBJI;[757, 832, 1139, 1219];['6h 35m', '6h 35m', '6h 15m', '6h 15m']
