origem;destino;custo_menor_custo;duracao_menor_custo;custo_menor_duracao;duracao_menor_duracao
SBEG;SBCZ;[];[];[];[]
SBEG;SBRB;767;1h 55m;767;1h 55m
SBEG;SBMO;[];[];[];[]
SBEG;SWCA;[];[];[];[]
SBEG;SWKO;[];[];[];[]
SBEG;SWEI;[];[];[];[]
SBEG;SWHT;[];[];[];[]
SBEG;SWLB;[];[];[];[]
SBEG;SBEG;[];[];[];[]
SBEG;SBMY;[];[];[];[]
SBEG;SWPI;210;1h;210;1h
SBEG;SBUA;930;1h 5m;930;1h 5m
SBEG;SBTT;551;15m;551;15m
SBEG;SBTF;[];[];[];[]
SBEG;SBMQ;507;13h 40m;507;13h 40m
SBEG;SNBR;747;6h;747;6h
SBEG;SBFE;[];[];[];[]
SBEG;SBIL;902;8h 35m;902;8h 35m
SBEG;SBLE;868;22h 15m;868;22h 15m
SBEG;SBUF;[];[];[];[]
SBEG;SBPS;1034;34h 40m;1034;34h 40m
SBEG;SBSV;823;6h 35m;823;6h 35m
SBEG;SNTF;[];[];[];[]
SBEG;SBQV;691;8h 25m;691;8h 25m
SBEG;SBFZ;709;3h 20m;709;3h 20m
SBEG;SBJU;[];[];[];[]
SBEG;SBBR;760;6h 25m;760;6h 25m
SBEG;SBVT;918;6h 10m;918;6h 10m
SBEG;SBCN;1127;11h 10m;1127;11h 10m
SBEG;SBGO;408;9h 35m;408;9h 35m
SBEG;SBIZ;824;16h 10m;824;16h 10m
SBEG;SBSL;665;6h 20m;665;6h 20m
SBEG;SBBH;[];[];[];[]
SBEG;SBCF;799;23h 5m;824;6h 5m
SBEG;SBZM;[];[];[];[]
SBEG;SBGV;1233;9h;1233;9h
SBEG;SBMK;1106;9h 30m;1106;9h 30m
SBEG;SNPD;[];[];[];[]
SBEG;SBIP;1033;8h 45m;1033;8h 45m
SBEG;SBUR;1643;11h 30m;1643;11h 30m
SBEG;SBUL;392;9h 35m;392;9h 35m
SBEG;SBDB;[];[];[];[]
SBEG;SBCG;836;40h 10m;836;40h 10m
SBEG;SBCR;[];[];[];[]
SBEG;SBDO;[];[];[];[]
SBEG;SBTG;[];[];[];[]
SBEG;SBAT;633;22h 10m;633;22h 10m
SBEG;SWRD;1914;39h;1914;39h
SBEG;SWSI;2100;9h 15m;2100;9h 15m
SBEG;SBCY;993;8h 35m;993;8h 35m
SBEG;SBHT;560;2h 50m;560;2h 50m
SBEG;SBBE;379;2h 10m;379;2h 10m
